,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs
199,1604097384-058852,35,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
200,1604097384-058852,35,9,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
201,1604097384-058852,35,9,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
202,1604282134-409324,25,2,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
203,1604282134-409324,25,2,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
204,1604282134-409324,25,2,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
205,1604282134-409324,25,2,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
206,1604282134-409324,25,2,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
207,1604282134-409324,25,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
208,1604282134-409324,25,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
209,1604282134-409324,25,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
210,1604282134-409324,25,3,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
211,1604282134-409324,25,3,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
212,1604282134-409324,25,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
213,1604282134-409324,25,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
214,1604282134-409324,25,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
215,1604282134-409324,25,4,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
216,1604282134-409324,25,4,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
217,1604282134-409324,25,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
218,1604282134-409324,25,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
219,1604282134-409324,25,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
220,1604282134-409324,25,5,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
221,1604282134-409324,25,5,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
222,1604282134-409324,25,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
223,1604282134-409324,25,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
224,1604282134-409324,25,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
225,1604282134-409324,25,6,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
226,1604282134-409324,25,6,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
227,1604282134-409324,25,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
228,1604282134-409324,25,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
229,1604282134-409324,25,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
230,1604282134-409324,25,7,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
231,1604282134-409324,25,7,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
232,1604282134-409324,25,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
233,1604282134-409324,25,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
234,1604282134-409324,25,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
235,1604282134-409324,25,8,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
236,1604282134-409324,25,8,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
237,1604282134-409324,25,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
238,1604282134-409324,25,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
239,1604282134-409324,25,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
240,1604282134-409324,25,9,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
241,1604282134-409324,25,9,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
