,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
43,1603583765-067812,-,111764.0,100.0,50.57336290772462,13.64306640625,0.2840807415625783,4.142842226428911e-05,0.9964495103833736,Baseline:hf=55:hl=9,BASELINE
44,1603583765-067812,-,111764.0,100.0,52.80803759584094,13.64306640625,0.2840807415625783,1.990639793802984e-05,0.9970863014798768,Baseline:hf=55:hl=9,BASELINE
45,1603672968-148557,-,89084.0,100.0,49.56231593162856,10.87451171875,0.3564051906066185,4.088282730663195e-05,0.9962300763013988,Baseline:hf=85:hl=3,BASELINE
46,1603672968-148557,-,89084.0,100.0,49.09585803523697,10.87451171875,0.3564051906066185,5.1945557061117136e-05,0.9961185616118656,Baseline:hf=85:hl=3,BASELINE
47,1603672968-148557,-,89084.0,100.0,49.48566587176904,10.87451171875,0.3564051906066185,3.5758304875344045e-05,0.996338995490693,Baseline:hf=85:hl=3,BASELINE
48,1603672968-148557,-,118324.0,100.0,54.615937494406054,14.44384765625,0.26833102329197794,1.3499164197128266e-05,0.9982647686724324,Baseline:hf=85:hl=4,BASELINE
49,1603672968-148557,-,118324.0,100.0,55.279990098807964,14.44384765625,0.26833102329197794,1.2366685041342862e-05,0.9983395336978376,Baseline:hf=85:hl=4,BASELINE
50,1603672968-148557,-,118324.0,100.0,51.78624471930828,14.44384765625,0.26833102329197794,3.135604492854327e-05,0.9977932583226896,Baseline:hf=85:hl=4,BASELINE
51,1603672968-148557,-,147564.0,100.0,56.391988570556926,18.01318359375,0.21516087934726627,8.672010153532028e-06,0.9988027741716526,Baseline:hf=85:hl=5,BASELINE
52,1603672968-148557,-,147564.0,100.0,56.42598276644304,18.01318359375,0.21516087934726627,9.096981557377147e-06,0.99886802196614,Baseline:hf=85:hl=5,BASELINE
53,1603672968-148557,-,147564.0,100.0,56.87972095134161,18.01318359375,0.21516087934726627,8.4040093497606e-06,0.9988870957647304,Baseline:hf=85:hl=5,BASELINE
54,1603672968-148557,-,176804.0,100.0,57.198544711019856,21.58251953125,0.17957738512703333,9.32101556827547e-06,0.9991183618367192,Baseline:hf=85:hl=6,BASELINE
55,1603672968-148557,-,176804.0,100.0,52.21761083173941,21.58251953125,0.17957738512703333,2.440415482851677e-05,0.9986158341404552,Baseline:hf=85:hl=6,BASELINE
