,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
1603731938-952001,1603731938-952001,-,323004.0,100.0,61.45621904984709,39.42919921875,0.09829599633441072,2.71087583314511e-06,0.9994904747580016,Baseline:hf=85:hl=11,BASELINE
1603731938-952001,1603731938-952001,-,352244.0,100.0,55.146051434406154,42.99853515625,0.09013638273469526,1.1469953278719913e-05,0.9981206155321612,Baseline:hf=85:hl=12,BASELINE
1603731938-952001,1603731938-952001,-,352244.0,100.0,50.463649205941586,42.99853515625,0.09013638273469526,3.6789177102036774e-05,0.9955229498675461,Baseline:hf=85:hl=12,BASELINE
1603731938-952001,1603731938-952001,-,352244.0,100.0,64.2856817665256,42.99853515625,0.09013638273469526,1.6675135157129262e-06,0.9997024090902245,Baseline:hf=85:hl=12,BASELINE
1603731938-952001,1603731938-952001,-,381484.0,100.0,54.47322809479759,46.56787109375,0.08322760587600005,1.7759484762791544e-05,0.9981001825906627,Baseline:hf=85:hl=13,BASELINE
1603731938-952001,1603731938-952001,-,381484.0,100.0,58.19213709236187,46.56787109375,0.08322760587600005,5.831435373693239e-06,0.9989066079018186,Baseline:hf=85:hl=13,BASELINE
1603731938-952001,1603731938-952001,-,381484.0,100.0,39.3051842168817,46.56787109375,0.08322760587600005,0.00045191776007413864,0.9591495411944125,Baseline:hf=85:hl=13,BASELINE
1603774067-025589,1603774067-025589,-,50948.0,100.0,43.938853383733175,6.21923828125,0.623184423333595,0.00016186715220101178,0.9874115054705859,Baseline:hf=64:hl=3,BASELINE
1603774067-025589,1603774067-025589,-,50948.0,100.0,44.017823296467746,6.21923828125,0.623184423333595,0.00015905132750049233,0.9877178092455308,Baseline:hf=64:hl=3,BASELINE
1603774067-025589,1603774067-025589,-,50948.0,100.0,43.645672218939225,6.21923828125,0.623184423333595,0.00017448345897719264,0.986565662168507,Baseline:hf=64:hl=3,BASELINE
1603774067-025589,1603774067-025589,-,67588.0,100.0,46.72896638043948,8.25048828125,0.4697579451973723,8.459243690595031e-05,0.9928571503427865,Baseline:hf=64:hl=4,BASELINE
1603774067-025589,1603774067-025589,-,67588.0,100.0,47.326627920900684,8.25048828125,0.4697579451973723,7.412309059873223e-05,0.9932068431865865,Baseline:hf=64:hl=4,BASELINE
1603774067-025589,1603774067-025589,-,67588.0,100.0,46.83022297649701,8.25048828125,0.4697579451973723,8.225534111261368e-05,0.9931341515658528,Baseline:hf=64:hl=4,BASELINE
1603774067-025589,1603774067-025589,-,84228.0,100.0,49.97310696265333,10.28173828125,0.376953032245809,4.0806618926580995e-05,0.995739520332951,Baseline:hf=64:hl=5,BASELINE
1603774067-025589,1603774067-025589,-,84228.0,100.0,49.30827709376472,10.28173828125,0.376953032245809,4.497537520364858e-05,0.9953517178956603,Baseline:hf=64:hl=5,BASELINE
1603774067-025589,1603774067-025589,-,84228.0,100.0,49.03929894840274,10.28173828125,0.376953032245809,5.4053998610470444e-05,0.9952844418524722,Baseline:hf=64:hl=5,BASELINE
1603774067-025589,1603774067-025589,-,100868.0,100.0,52.134040962406374,12.31298828125,0.3147678153626522,2.4186265363823622e-05,0.9969948058709499,Baseline:hf=64:hl=6,BASELINE
1603774067-025589,1603774067-025589,-,100868.0,100.0,52.50400384689676,12.31298828125,0.3147678153626522,2.2408803488360718e-05,0.9969081014637869,Baseline:hf=64:hl=6,BASELINE
1603774067-025589,1603774067-025589,-,100868.0,100.0,51.19996995841418,12.31298828125,0.3147678153626522,3.0171238904586062e-05,0.9966360061983985,Baseline:hf=64:hl=6,BASELINE
